Index;Номер устройства;SIM Card Number;Компания;Принадлежность транспорта;;;;;
8;0049673;79029218835;Глобал Транс Групп;SHACMAN_М696РУ124;;;;;
14;0060159;79131909386;ООО ТСК (Сибтехрегион);Авт.ПАЗ_048;;;;;
121;018270080530;79135338863;ООО_Ресурс;Х605КР19;;;;;
90;018260008576;79135339882;ООО ТСК (Сибтехрегион);Пог.LW550_v0972;;;;;
12;0060148;79135339893;ООО ТСК (Сибтехрегион);М_Пог.ХС760Кxcmg;;;;;
13;0060149;79135339902;ООО ТСК (Сибтехрегион);FordTransitА440СТ;;;;;
86;018260008537;79135339903;ООО ТСК (Сибтехрегион);Пог.LW550_v1163;;;;;
92;018260010896;79135339912;ООО ТСК (Сибтехрегион);Экс.XE370_v3530xcmg;;;;;
88;018260008562;79135510244;ООО ТСК (Сибтехрегион);Экс.XE210WD_v0567;;;;;
104;018270044681;79135905464;АльянсСК;Shacman_С268СХ;;;;;
113;018270044980;79135905498;АльянсСК;Shacman_С265СХ;;;;;
73;018260007780;79138313964;ООО ТСК (Сибтехрегион);Экс.DOOSANvin2981;;;;;
127;020000020383;79138323986;Кодекс;Irkutsk-2;;;;;
128;020000050333;79138327113;Кодекс;Kirensk;;;;;
195;621000150940;79233145663;ВЧ-Групп;DOOSAN_5989КВ24;;;;;
144;021000470375;79333328831;ВЧ-Групп;Камаз_Т406СС;;;;;
160;0470411;79504042615;ООО ТСК (Сибтехрегион);КатоXCMGvin2362;;;;;
51;0070653;79831405847;ООО ТСК (Сибтехрегион);КДМ_ЗИЛ_269;;;;;
83;018260008218;79831608493;ООО СТО 2000;FIAT_С808РЕ124;;;;;
184;55555;79832902465;ФСИН;Н491РЕ124;;;;;
67;018260007741;79833609181;ЕнисейСтройМеталл;ЭтрCASEtest;;;;;
111;018270044951;79833610049;СтройТехМонтаж ООО;SANY_0147;;;;;
116;018270045011;79835734773;КТСК ООО;LiuGong_3161;;;;;
38;0070145;79016252893;ООО ТСК (Сибтехрегион);М_Пог.BobCat770_0757;;;;;
19;0060382;79016252896;ООО ТСК (Сибтехрегион);Экс.XE335_v0694xcmg;;;;;
17;0060317;79016252897;ООО ТСК (Сибтехрегион);Экс.DOOSANvin5845;;;;;
201;818270081778;79016252946;Агрофирма Учумская;GAZel_T038RO_124;;;;;
109;018270044923;79029212516;Глобал Транс Групп;Shacman_М670РУ124;;;;;
126;018270171498;79029225128;Глобал Транс Групп;Shacman_М664РУ124;;;;;
117;018270049611;79029642550;Глобал Транс Групп;Shacman_М650РУ124;;;;;
60;018260007637;79029643498;ООО ТСК (Сибтехрегион);Пог.Hyundai770_v0085;;;;;
76;018260007809;79029643597;ООО ТСК (Сибтехрегион);Экс.CAT336_v5520;;;;;
96;018270043581;79082112893;Глобал Транс Групп;Shacman_Н781РУ124;;;;;
170;22041995;79130321502;ИП_Старостин;в785рр124;;;;;
158;0470115;79130322311;ООО ТСК (Сибтехрегион);Экс.Doosan5359;;;;;
55;0150481;79130322335;Магистраль;Benzovoz_Н919РВ;;;;;
46;0070351;79130322995;ООО ТСК (Сибтехрегион);Бул.Zoomilion2908;;;;;
70;018260007755;79130324175;ООО Русь;SHACMAN_С187РУ;;;;;
119;018270069833;79130326414;ООО Перевозчик;МАЗ_У901ОК_124;;;;;
99;018270044423;79130326419;ООО Русь;Камаз_С964СК124;;;;;
4;000015;79130403118;ИП_Старостин;в552рр124;;;;;
198;817000050014;79130407099;ООО ОЛМАЛ;Kamaz_Y953NA_124;;;;;
155;0390228;79130407753;ООО ТСК (Сибтехрегион);Пог.Lw300v1033_5281;;;;;
42;0070304;79130407756;ООО ТСК (Сибтехрегион);Экс.Sinomach_1238;;;;;
85;018260008533;79130407785;ООО ТСК (Сибтехрегион);Экс.Hyundai220_3546;;;;;
6;0020291;79131701307;Кодекс;Prokopievsk;;;;;
77;018260007811;79131702365;СтройТехМонтаж ООО;SANY_9251ХН;;;;;
191;621000120904;79131706490;МелехинЕВ;FAW_к790ку;;;;;
65;018260007681;79131707226;СтройТехМонтаж ООО;1121F_7652КВ_24;;;;;
137;021000150981;79131707274;Кодекс;Bratsk;;;;;
130;021000060157;79131709709;ООО СТО 2000;Mitsubishi_Х680РР124;;;;;
129;021000060035;79131709716;ООО СТО 2000;Mitsubishi_Х681РР124;;;;;
52;0080021;79131709808;ООО ОЛМАЛ;MAN_Y066OH_124;;;;;
199;817000050015;79131709812;ООО ОЛМАЛ;MAN_A537OX_124;;;;;
200;817000050018;79131709867;ООО ОЛМАЛ;MAN_H430MC_124;;;;;
82;018260008109;79131908581;СтройТехМонтаж ООО;XCMG_5143КВ24;;;;;
62;018260007645;79131908668;СтройТехМонтаж ООО;Экс.Case_8581КВ24;;;;;
79;018260007840;79131908715;СтройТехМонтаж ООО;XCMG_8605КВ_24;;;;;
84;018260008297;79131908947;СтройТехМонтаж ООО;XCMG_7552KV_24;;;;;
9;0060022;79131909370;ООО ТСК (Сибтехрегион);М_Пог.ХС770RU_v5488;;;;;
159;0470183;79135071749;Кодекс;Novosibirsk;;;;;
187;618000170378;79135072053;Кодекс;Omsk;;;;;
147;0220208;79135072464;ИП Климович;DAFВ200СМ;;;;;
148;0220209;79135072465;ИП Климович;DAFO368HX;;;;;
173;318000020684;79135073133;Кодекс;Ermakovskoe;;;;;
57;018000020596;79135073266;Кодекс;Shushenskoe;;;;;
58;018000020627;79135073275;Кодекс;Shalinskoe;;;;;
59;018000260790;79135101073;M2M-TelematicsSiberia;Лада_М395РН;;;;;
140;021000151265;79135104532;ООО СибТрансСервис;SHANTUI_VIN8486;;;;;
202;8777;79135202495;Терминал;О877ОВ;;;;;
63;018260007649;79135208421;СтройТехМонтаж ООО;Экс_8785КВ_24;;;;;
132;021000070194;79135208451;СтройТехМонтаж ООО;Экс-трSunySY330H;;;;;
156;0390231;79135208453;СтройТехМонтаж ООО;SHANTUI_8671KV_24;;;;;
32;0070136;79135208944;ООО СибТрансСервис;Volvo_8028KV_24;;;;;
165;121000040598;79135208966;ООО СибТрансСервис;Komatsu_0889HN_24;;;;;
54;0092427;79135331244;СПЕЦСИБТРАНС ООО;КамазН521ОУ124;;;;;
21;0070033;79135331377;ООО СТО 2000;Mitsubishi_Х687РР;;;;;
125;018270131335;79135336716;Кодекс;Minusinsk-2;;;;;
203;99999;79135339263;ИП_Старостин;о589ре124;;;;;
87;018260008550;79135339907;ООО ТСК (Сибтехрегион);Пог.LW550_v1164_8295;;;;;
149;0220217;79135801526;ИП Климович;DAFE186HH;;;;;
30;0070124;79135802008;ООО ТСК (Сибтехрегион);Грейд.Dormash_298;;;;;
64;018260007654;79135802286;СтройТехМонтаж ООО;XCMG_8419ХН24;;;;;
103;018270044556;79135903451;АльянсСК;Shacman_О476СХ;;;;;
108;018270044898;79135905488;АльянсСК;Shacman_С204СХ;;;;;
118;018270050203;79135906673;ООО ОЛМАЛ;JAC_Н608РУ_124;;;;;
115;018270045001;79135906797;АльянсСК;Shacman_С394СХ;;;;;
101;018270044458;79135907500;АльянсСК;Shacman_С317СТ;;;;;
102;018270044461;79135907501;АльянсСК;Shacman_С257СХ;;;;;
107;018270044877;79135907544;АльянсСК;Shacman_С290СТ;;;;;
114;018270044983;79135907601;АльянсСК;Shacman_С322СТ;;;;;
174;318000170232;79135907893;M2M-TelematicsSiberia;УАЗ_С953НЕ124;;;;;
106;018270044822;79135907922;РК ООО;FAWvin1005;;;;;
189;621000100649;79135911285;Кодекс;Abakan;;;;;
72;018260007779;79135913277;ООО СТО 2000;МАЗа745ро;;;;;
150;0370413;79135913627;ООО Русь;Shacman_M367RT_124;;;;;
151;0370427;79135913737;Кодекс;Emelyanovo;;;;;
18;0060328;79135913948;СОГРА ООО;GAZ_K256RR_124;;;;;
146;0220203;79138310260;ИП Климович;DAFT032CB;;;;;
66;018260007682;79138311352;ООО СибТрансСервис;КАМАЗ_Р625НС;;;;;
194;621000150660;79138311509;ООО СТО 2000;CruiserО414РТ124;;;;;
68;018260007749;79138311814;Полюс-Норд;ПлавКран;;;;;
91;018260008613;79138314717;ООО ТСК (Сибтехрегион);Экс.XE370_v3535xcmg;;;;;
39;0070154;79138323486;ООО ТСК (Сибтехрегион);Пог.SDLG936_7676;;;;;
44;0070317;79138323488;ООО ТСК (Сибтехрегион);Авт.Ford_917;;;;;
41;0070301;79138323491;ООО ТСК (Сибтехрегион);Погр.LuiGong5564;;;;;
154;0390134;79138323506;ООО ТСК (Сибтехрегион);ЭксHyundai210_6511;;;;;
33;0070139;79138323517;ООО ТСК (Сибтехрегион);ScaniaК506НВ;;;;;
36;0070143;79138323519;ООО ТСК (Сибтехрегион);Экс.Hyundai220_8315;;;;;
35;0070142;79138323520;ООО ТСК (Сибтехрегион);Бул.Shantui16_2916;;;;;
26;0070051;79138323521;ООО ТСК (Сибтехрегион);Бул.Shantui23_2917;;;;;
166;140500321004;79138324005;Кодекс;Michurina;;;;;
56;0160239;79138355960;ИП Мурашев Василий Анатольевич;InternationalA540XP;;;;;
193;621000150497;79233145698;ВЧ-Групп;ВахтаК029СК;;;;;
181;418000190181;79293088722;Колымавзрывпром;Камаз_Х958АВ;;;;;
178;418000190059;79293088723;Колымавзрывпром;Scania_Р096КМ;;;;;
180;418000190146;79293326257;Колымавзрывпром;УАЗА182АО49;;;;;
162;118000070133;79293326295;Колымавзрывпром;Бур_Д-65_№2;;;;;
164;118000070140;79293326297;Колымавзрывпром;Бур_Д-65_№3;;;;;
163;118000070134;79293326298;Колымавзрывпром;Бур_Д-65_№4;;;;;
179;418000190111;79333315742;Колымавзрывпром;Nissan_461;;;;;
168;18000110250;79333315749;Колымавзрывпром;МТЗ9642ММ49;;;;;
176;32145;79333328742;ВЧ-Групп;komatsu_pc300;;;;;
120;018270080332;79504036033;Агрофирма Учумская;PAZ_H799TT_24;;;;;
145;021000470987;79504041540;ООО ТСК (Сибтехрегион);Грейд.XCMGvin0035;;;;;
161;0470759;79504041562;ООО ТСК (Сибтехрегион);КатокXCMGvin3847;;;;;
136;021000150925;79504042374;ООО ТСК (Сибтехрегион);КатокXCMGvin3056;;;;;
112;018270044956;79504043509;Глобал Транс Групп;Shacman_М108РУ124;;;;;
95;018270043563;79504043753;Глобал Транс Групп;Shacman_М136РУ124;;;;;
93;018270043372;79504043757;Глобал Транс Групп;Shacman_Н800РУ124;;;;;
97;018270043590;79504045501;Глобал Транс Групп;Mercedes_Х326НМ124;;;;;
100;018270044451;79504068169;Глобал Транс Групп;Shacman_Н838РУ124;;;;;
110;018270044945;79504068368;Глобал Транс Групп;Shacman_Н775РУ124;;;;;
98;018270043592;79504068422;Глобал Транс Групп;HOWO_т749рм;;;;;
25;0070050;79538464920;ООО ТСК (Сибтехрегион);Экс.XE335_v0619xcmg;;;;;
47;0070362;79538484298;ООО ТСК (Сибтехрегион);Экс.Hyundai210_4599;;;;;
40;0070258;79538484302;ООО ТСК (Сибтехрегион);Бул.Komatsu8148;;;;;
22;0070034;79538512032;ООО ТСК (Сибтехрегион);Экс.Doosan225_8369;;;;;
15;0060165;79538512042;ООО ТСК (Сибтехрегион);Авт.ПАЗ_027;;;;;
11;0060147;79538512049;ООО ТСК (Сибтехрегион);Экс.CAT315v0463_2602;;;;;
31;0070133;79538512250;ООО ТСК (Сибтехрегион);Экс.Hitach330-5_6527;;;;;
45;0070323;79538512343;ООО ТСК (Сибтехрегион);Экс.XE335_v0623xcmg;;;;;
10;0060030;79538512893;ООО ТСК (Сибтехрегион);Пог.LW550_v5318;;;;;
167;1523555;79830553786;ФСИН;Переносной;;;;;
28;0070062;79831405670;ООО ТСК (Сибтехрегион);КранКамаз084;;;;;
20;0070032;79831405676;ООО ТСК (Сибтехрегион);Вор.Камаз_654;;;;;
23;0070035;79831405679;ООО ТСК (Сибтехрегион);Kаток_LuiGong_8320;;;;;
43;0070306;79831405684;ООО ТСК (Сибтехрегион);Экс.Hitachi240_8316;;;;;
29;0070122;79831405694;ООО ТСК (Сибтехрегион);Экс.Doosan_4581;;;;;
48;0070602;79831405734;ООО ТСК (Сибтехрегион);Погр.Hyundai4974;;;;;
37;0070144;79831405747;ООО ТСК (Сибтехрегион);Экс.CAT316_6507;;;;;
24;0070045;79831405769;ООО ТСК (Сибтехрегион);Вор.Камаз_690;;;;;
27;0070058;79831405775;ООО ТСК (Сибтехрегион);Экс.Doosan_6509;;;;;
49;0070651;79831405788;ООО ТСК (Сибтехрегион);Пог.LuiGong855_5373;;;;;
50;0070652;79831405812;ООО ТСК (Сибтехрегион);КДМ_Камаз796;;;;;
34;0070141;79831405814;ООО ТСК (Сибтехрегион);Грейд.LuiGong6500;;;;;
153;0390056;79831405838;ООО ТСК (Сибтехрегион);М_Пог.Case220_2980;;;;;
157;0390236;79831405841;ООО ТСК (Сибтехрегион);Трак.МТЗ_8353;;;;;
188;618000170384;79831405852;Кодекс;Novoselovo;;;;;
185;555555;79831605926;БелчитА.В.;К360ВС_;;;;;
177;360;79831606937;БелчитА.В.;Х360АУ_;;;;;
141;021000460095;79831609050;Стэлс;Н684РЕ124;;;;;
142;021000460282;79831609051;Стэлс;Н685РЕ124;;;;;
175;32144;79832003944;ВЧ-Групп;к641му;;;;;
3;000014;79832901841;ИП_Старостин;в806рр124;;;;;
1;00001;79832902556;ФСИН;5569ХС;;;;;
5;00002;79832902569;ФСИН;Е526НУ;;;;;
139;021000151260;79833607084;ООО СибТрансСервис;Komatsu_5907хн;;;;;
138;021000151256;79833607102;ООО СибТрансСервис;Volvo_5909XH;;;;;
196;621000151264;79833607118;ООО СибТрансСервис;Volvo_5908;;;;;
192;621000150406;79833607121;ООО СибТрансСервис;Shacman_Н890РС;;;;;
123;018270085378;79833607208;ООО_Ресурс;ГазН274СЕ124;;;;;
94;018270043528;79833609628;СтройТехМонтаж ООО;SANY_0148КМ_24;;;;;
89;018260008574;79833611059;ООО ТСК (Сибтехрегион);Экс.XE335_v0960xcmg;;;;;
105;018270044796;79833611438;АльянсСК;Shacman_С219СТ;;;;;
75;018260007807;79835734459;СтройТехМонтаж ООО;CAT_D9R_7562;;;;;
16;0060309;79835734462;СтройТехМонтаж ООО;Sany_0146КМ;;;;;
78;018260007822;79835734465;СтройТехМонтаж ООО;ZMLN_5145кв;;;;;
61;018260007643;79835734468;СтройТехМонтаж ООО;Zoomlion5085КВ24;;;;;
133;021000070299;79835734479;СтройТехМонтаж ООО;SEM_4064;;;;;
74;018260007786;79835734480;СтройТехМонтаж ООО;Sany_0149КМ;;;;;
69;018260007753;79835734489;СтройТехМонтаж ООО;Shantui8672КВ;;;;;
71;018260007763;79835734502;СтройТехМонтаж ООО;SDLG_7512KV_24;;;;;
81;018260008052;79835734631;СтройТехМонтаж ООО;CAT_5086КВ;;;;;
80;018260008043;79835734644;СтройТехМонтаж ООО;Sany_0150;;;;;
53;0081963;79835734674;ООО СибТрансСервис;Volvo_8837ХС_24;;;;;
134;021000092440;79835735053;Кодекс;Kazachinskoe;;;;;
143;021000460381;79835735066;Стэлс;Н676РЕ124;;;;;
152;0370430;79835735100;СПЕЦСИБТРАНС ООО;Kamaz_С244РМ_124;;;;;
131;021000060368;79131709935;ООО СТО 2000;Mitsubishi_Х649РР124;;;;;
172;318000020673;79135075086;Кодекс;Zheleznogorsk-2;;;;;
124;018270085413;79135104612;ООО ТСК (Сибтехрегион);Экск_XE370CA_v3468;;;;;
190;621000100673;79135804778;Кодекс;Kuznecovo;;;;;
7;0020294;79138337714;Кодекс;Leninsk-Kuzneckij;;;;;
183;518000190244;79293326245;Колымавзрывпром;KIA_А345АС;;;;;
182;418000190182;79293326253;Колымавзрывпром;Бур_ДМ-45;;;;;
169;18000270013;79293326254;Колымавзрывпром;Volvo_В464ЕУ;;;;;
197;621000151266;799833607103;ООО СибТрансСервис;Shacman_У143РР_124;;;;;
2;000013;;ФСИН;;;;;;
122;018270084846;;ООО СибТрансСервис;Ремзона;;;;;
135;021000150452;;M2M-TelematicsSiberia;ТестЧерн;;;;;
171;2725;;M2M-TelematicsSiberia;Видео-бокс;;;;;
186;601221067;;ВЧ-Групп;;;;;;
